DATE,COUNTRY,BASE_DEMAND,MARKETING_SPEND,GDP_GROWTH,INFLATION_RATE,SEASONALITY_INDEX,FINAL_DEMAND
2022-Jul-11,USA,120,61950.47,2.61,2.3,0.99,204
2022-Jul-12,USA,120,48689.62,2.79,2.47,0.86,149
2022-Jul-13,USA,120,35519.86,2.06,4.88,1.0,135
2022-Jul-14,USA,120,61218.53,3.02,3.99,0.88,235
2022-Jul-15,USA,120,68466.37,3.02,2.9,0.9,204
2022-Jul-16,USA,120,42891.28,3.22,2.79,0.93,179
2022-Jul-17,USA,120,49178.49,1.5,4.44,0.86,194
2022-Jul-18,USA,120,57077.16,2.72,2.77,1.04,260
2022-Jul-19,USA,120,51965.21,3.01,4.33,1.02,238
2022-Jul-20,USA,120,53749.78,1.68,2.95,1.01,205
2022-Jul-21,USA,120,51281.04,2.47,1.57,0.94,198
2022-Jul-22,USA,120,47231.01,1.99,4.0,0.9,183
2022-Jul-23,USA,120,34160.97,2.14,0.58,0.86,173
2022-Jul-24,USA,120,49758.23,2.8,3.48,0.99,201
2022-Jul-25,USA,120,65033.98,2.5,1.84,0.87,236
2022-Jul-26,USA,120,47308.14,1.8,3.04,0.96,197
2022-Jul-27,USA,120,67976.87,1.7,2.72,0.87,226
2022-Jul-28,USA,120,52755.11,2.11,2.56,1.01,206
2022-Jul-29,USA,120,56982.23,2.55,2.35,0.99,240
2022-Jul-30,USA,120,51145.33,2.04,4.09,0.99,229
2022-Jul-31,USA,120,67359.64,4.16,2.31,1.01,271
2022-Aug-01,USA,120,56186.87,1.67,2.47,0.87,219
2022-Aug-02,USA,120,50380.03,3.88,3.44,0.95,215
2022-Aug-03,USA,120,60910.46,2.1,3.21,0.89,205
2022-Aug-04,USA,120,37742.34,2.11,4.57,1.0,154
2022-Aug-05,USA,120,48946.08,1.25,5.0,1.05,245
2022-Aug-06,USA,120,56523.23,2.36,3.88,1.02,192
2022-Aug-07,USA,120,63768.03,2.93,1.75,1.03,279
2022-Aug-08,USA,120,44496.95,2.9,3.26,0.88,169
2022-Aug-09,USA,120,33495.09,2.76,2.71,1.04,186
2022-Aug-10,USA,120,61487.66,3.12,0.15,1.02,216
2022-Aug-11,USA,120,58072.93,2.8,2.91,0.88,181
2022-Aug-12,USA,120,49530.79,2.13,3.35,0.92,204
2022-Aug-13,USA,120,47407.5,0.82,3.25,0.9,203
2022-Aug-14,USA,120,46513.48,3.7,3.85,0.9,185
2022-Aug-15,USA,120,62145.09,3.18,4.22,0.86,202
2022-Aug-16,USA,120,47409.58,3.32,3.24,1.01,213
2022-Aug-17,USA,120,48690.84,2.54,2.31,0.9,175
2022-Aug-18,USA,120,59163.28,2.56,1.0,1.04,263
2022-Aug-19,USA,120,41288.66,0.82,5.94,0.94,173
2022-Aug-20,USA,120,56127.74,3.39,1.96,0.86,184
2022-Aug-21,USA,120,60730.87,2.72,2.35,1.04,247
2022-Aug-22,USA,120,51504.19,3.2,3.5,0.89,204
2022-Aug-23,USA,120,45510.79,3.27,3.31,0.95,201
2022-Aug-24,USA,120,56387.3,3.38,4.19,1.04,211
2022-Aug-25,USA,120,60051.43,1.88,3.3,0.93,208
2022-Aug-26,USA,120,47558.43,3.79,3.45,1.01,241
2022-Aug-27,USA,120,57214.66,3.34,3.57,0.92,228
2022-Aug-28,USA,120,48269.28,2.38,3.13,0.94,199
2022-Aug-29,USA,120,41148.37,1.48,1.36,0.91,209
2022-Aug-30,USA,120,66420.15,1.99,1.68,0.94,258
2022-Aug-31,USA,120,50591.42,0.7,2.32,0.97,227
2022-Sep-01,USA,120,60225.7,1.39,1.35,0.95,280
2022-Sep-02,USA,120,47473.14,3.04,3.58,0.97,214
2022-Sep-03,USA,120,33070.43,1.9,2.72,1.04,180
2022-Sep-04,USA,120,30878.97,3.28,2.38,0.91,167
2022-Sep-05,USA,120,40175.13,1.71,3.94,0.97,177
2022-Sep-06,USA,120,68466.27,1.72,3.55,0.89,219
2022-Sep-07,USA,120,49803.62,1.23,3.44,0.87,190
2022-Sep-08,USA,120,54719.61,2.04,3.06,1.01,228
2022-Sep-09,USA,120,42980.08,2.54,3.04,0.97,183
2022-Sep-10,USA,120,47246.77,3.42,2.7,0.97,227
2022-Sep-11,USA,120,47050.5,1.93,3.89,0.9,206
2022-Sep-12,USA,120,72226.96,2.69,2.22,0.98,224
2022-Sep-13,USA,120,48147.12,3.01,3.41,0.88,186
2022-Sep-14,USA,120,34630.52,3.48,4.62,0.85,157
2022-Sep-15,USA,120,41963.25,2.43,5.58,0.93,204
2022-Sep-16,USA,120,53026.85,3.28,4.1,0.94,198
2022-Sep-17,USA,120,44183.19,2.2,2.8,0.97,177
2022-Sep-18,USA,120,42409.6,2.03,2.8,0.9,179
2022-Sep-19,USA,120,53308.8,2.69,1.44,1.01,254
2022-Sep-20,USA,120,56949.98,1.56,1.77,0.96,264
2022-Sep-21,USA,120,55583.27,1.94,2.94,1.0,226
2022-Sep-22,USA,120,40850.41,1.71,3.63,0.89,170
2022-Sep-23,USA,120,60913.1,1.91,4.24,0.94,226
2022-Sep-24,USA,120,50729.97,2.07,1.59,1.04,249
2022-Sep-25,USA,120,51920.49,4.36,3.39,1.02,227
2022-Sep-26,USA,120,39294.06,2.9,3.58,0.88,154
2022-Sep-27,USA,120,38966.33,1.03,3.51,0.92,131
2022-Sep-28,USA,120,52513.06,3.17,3.03,0.97,219
2022-Sep-29,USA,120,59190.76,2.57,2.9,1.02,233
2022-Sep-30,USA,120,44928.77,2.95,3.6,1.02,205
2022-Oct-01,USA,120,50281.81,2.93,2.1,1.18,264
2022-Oct-02,USA,120,74648.78,2.32,3.2,1.23,306
2022-Oct-03,USA,120,39348.86,2.51,1.69,1.25,241
2022-Oct-04,USA,120,31975.91,2.91,3.05,1.17,192
2022-Oct-05,USA,120,37903.05,1.75,2.86,1.2,237
2022-Oct-06,USA,120,43113.33,1.73,3.42,1.22,238
2022-Oct-07,USA,120,43865.97,2.62,2.66,1.3,260
2022-Oct-08,USA,120,34657.01,2.51,2.27,1.24,249
2022-Oct-09,USA,120,36331.21,0.46,3.93,1.22,204
2022-Oct-10,USA,120,58786.44,3.47,2.68,1.17,304
2022-Oct-11,USA,120,44537.56,2.04,0.41,1.1,244
2022-Oct-12,USA,120,30398.42,1.7,2.97,1.21,241
2022-Oct-13,USA,120,45567.18,2.48,2.07,1.27,245
2022-Oct-14,USA,120,41251.8,0.66,2.56,1.25,183
2022-Oct-15,USA,120,43943.84,1.96,4.04,1.26,293
2022-Oct-16,USA,120,64105.68,2.43,3.92,1.15,306
2022-Oct-17,USA,120,50320.04,3.54,4.56,1.28,256
2022-Oct-18,USA,120,47710.17,2.57,4.72,1.13,233
2022-Oct-19,USA,120,36528.74,2.21,3.18,1.12,186
2022-Oct-20,USA,120,45485.9,3.04,4.16,1.17,230
2022-Oct-21,USA,120,59960.48,3.45,3.72,1.12,246
2022-Oct-22,USA,120,52811.8,1.5,2.5,1.22,242
2022-Oct-23,USA,120,43564.82,2.86,5.17,1.25,267
2022-Oct-24,USA,120,57458.01,3.66,4.8,1.3,316
2022-Oct-25,USA,120,39551.91,2.21,2.16,1.23,193
2022-Oct-26,USA,120,45161.89,2.96,3.15,1.19,240
2022-Oct-27,USA,120,58604.73,2.75,3.82,1.14,248
2022-Oct-28,USA,120,62137.31,3.17,2.19,1.27,310
2022-Oct-29,USA,120,51810.22,3.03,4.17,1.25,237
2022-Oct-30,USA,120,58126.89,2.42,2.91,1.3,319
2022-Oct-31,USA,120,53088.33,3.49,3.02,1.14,306
2022-Nov-01,USA,120,68113.75,0.98,3.08,1.22,308
2022-Nov-02,USA,120,48615.44,3.53,3.67,1.27,242
2022-Nov-03,USA,120,62879.82,3.16,2.07,1.1,263
2022-Nov-04,USA,120,38041.17,3.84,3.39,1.14,233
2022-Nov-05,USA,120,35501.43,2.72,4.45,1.17,186
2022-Nov-06,USA,120,67269.64,3.08,2.63,1.13,275
2022-Nov-07,USA,120,66810.92,1.14,4.46,1.28,272
2022-Nov-08,USA,120,44481.42,1.28,4.26,1.1,266
2022-Nov-09,USA,120,68613.16,2.6,2.31,1.23,371
2022-Nov-10,USA,120,57783.61,3.32,3.59,1.22,270
2022-Nov-11,USA,120,59478.26,3.39,2.35,1.2,313
2022-Nov-12,USA,120,42831.78,1.59,2.81,1.2,192
2022-Nov-13,USA,120,51898.48,2.88,1.63,1.12,272
2022-Nov-14,USA,120,47735.16,3.48,3.58,1.18,230
2022-Nov-15,USA,120,37466.52,3.46,1.06,1.27,265
2022-Nov-16,USA,120,53231.68,2.61,1.23,1.17,268
2022-Nov-17,USA,120,46311.7,3.33,2.81,1.15,257
2022-Nov-18,USA,120,49724.85,1.56,0.13,1.26,332
2022-Nov-19,USA,120,53547.78,3.22,3.78,1.19,238
2022-Nov-20,USA,120,48998.46,3.11,4.23,1.13,235
2022-Nov-21,USA,120,41597.19,2.78,2.78,1.15,210
2022-Nov-22,USA,120,49786.33,3.69,2.73,1.25,260
2022-Nov-23,USA,120,32371.68,2.58,1.87,1.11,178
2022-Nov-24,USA,120,34374.54,2.55,3.52,1.28,216
2022-Nov-25,USA,120,36668.43,1.61,3.57,1.25,279
2022-Nov-26,USA,120,42654.08,1.21,4.16,1.29,224
2022-Nov-27,USA,120,47044.59,3.31,5.66,1.27,262
2022-Nov-28,USA,120,39278.61,1.84,3.09,1.24,166
2022-Nov-29,USA,120,67698.62,2.14,5.01,1.13,238
2022-Nov-30,USA,120,48171.04,2.52,2.27,1.21,298
2022-Dec-01,USA,120,42909.66,2.0,3.6,1.11,207
2022-Dec-02,USA,120,53230.79,2.6,4.62,1.17,246
2022-Dec-03,USA,120,53174.72,2.21,3.51,1.28,279
2022-Dec-04,USA,120,48195.2,3.21,2.92,1.25,359
2022-Dec-05,USA,120,63094.73,3.33,3.51,1.12,257
2022-Dec-06,USA,120,59192.29,2.59,1.56,1.29,291
2022-Dec-07,USA,120,57653.9,3.45,3.54,1.22,281
2022-Dec-08,USA,120,43564.5,2.89,2.15,1.21,279
2022-Dec-09,USA,120,44534.93,2.29,3.48,1.27,243
2022-Dec-10,USA,120,70625.25,1.74,3.42,1.28,280
2022-Dec-11,USA,120,55212.95,2.65,3.24,1.12,254
2022-Dec-12,USA,120,48128.56,1.65,3.43,1.18,267
2022-Dec-13,USA,120,67929.23,2.53,2.73,1.13,289
2022-Dec-14,USA,120,53384.84,2.66,2.65,1.28,281
2022-Dec-15,USA,120,46963.38,3.95,3.35,1.26,220
2022-Dec-16,USA,120,62969.95,0.8,2.39,1.26,292
2022-Dec-17,USA,120,44347.15,2.94,2.16,1.17,237
2022-Dec-18,USA,120,62171.59,3.79,2.68,1.17,336
2022-Dec-19,USA,120,50379.5,2.42,4.23,1.17,251
2022-Dec-20,USA,120,45353.83,1.56,4.19,1.13,227
2022-Dec-21,USA,120,44908.05,2.18,3.52,1.13,246
2022-Dec-22,USA,120,39996.69,2.6,4.94,1.23,215
2022-Dec-23,USA,120,57236.11,3.32,1.68,1.11,287
2022-Dec-24,USA,120,56725.74,2.83,2.76,1.23,341
2022-Dec-25,USA,120,51408.28,1.14,0.72,1.12,276
2022-Dec-26,USA,120,53319.8,2.07,2.91,1.18,266
2022-Dec-27,USA,120,51959.75,2.15,3.75,1.16,257
2022-Dec-28,USA,120,44640.37,1.75,4.09,1.26,268
2022-Dec-29,USA,120,40892.96,2.77,2.35,1.27,258
2022-Dec-30,USA,120,57999.42,2.48,2.7,1.15,225
2022-Dec-31,USA,120,54283.13,3.34,2.14,1.16,297
2023-Jan-01,USA,120,50700.52,2.42,2.83,0.97,237
2023-Jan-02,USA,120,52651.56,2.78,4.16,0.86,200
2023-Jan-03,USA,120,22967.68,2.65,4.0,1.02,154
2023-Jan-04,USA,120,58858.03,3.68,2.65,0.91,226
2023-Jan-05,USA,120,66399.65,3.79,4.31,0.94,250
2023-Jan-06,USA,120,47434.12,1.73,3.03,0.9,141
2023-Jan-07,USA,120,50436.02,2.6,3.55,0.98,247
2023-Jan-08,USA,120,45604.11,2.42,2.82,0.98,159
2023-Jan-09,USA,120,35936.83,2.16,2.31,0.86,158
2023-Jan-10,USA,120,47950.65,1.78,2.33,0.97,205
2023-Jan-11,USA,120,53191.75,2.25,2.25,0.85,217
2023-Jan-12,USA,120,42208.48,2.8,2.82,0.95,188
2023-Jan-13,USA,120,60760.07,2.24,2.2,0.97,232
2023-Jan-14,USA,120,36222.99,2.18,2.35,0.95,144
2023-Jan-15,USA,120,34188.09,2.71,3.51,0.93,181
2023-Jan-16,USA,120,42917.12,2.62,2.39,1.01,214
2023-Jan-17,USA,120,47888.7,0.78,2.28,0.93,172
2023-Jan-18,USA,120,62264.05,2.91,2.83,1.0,271
2023-Jan-19,USA,120,57082.14,2.42,3.02,0.92,216
2023-Jan-20,USA,120,50583.51,2.81,3.64,0.97,195
2023-Jan-21,USA,120,48714.62,2.47,2.79,0.88,153
2023-Jan-22,USA,120,58554.6,0.93,3.73,0.97,240
2023-Jan-23,USA,120,38063.63,1.98,4.78,1.02,201
2023-Jan-24,USA,120,55280.68,2.29,4.43,0.91,209
2023-Jan-25,USA,120,57934.89,2.39,3.81,1.02,191
2023-Jan-26,USA,120,40132.14,3.77,3.78,0.92,210
2023-Jan-27,USA,120,46919.66,1.62,2.79,0.88,196
2023-Jan-28,USA,120,35873.32,2.54,2.84,0.88,183
2023-Jan-29,USA,120,59648.52,1.15,2.19,0.86,230
2023-Jan-30,USA,120,49540.3,4.01,2.54,0.92,185
2023-Jan-31,USA,120,45636.14,2.94,3.01,0.86,179
2023-Feb-01,USA,120,31962.19,1.62,2.64,0.86,141
2023-Feb-02,USA,120,61731.25,3.06,2.67,1.03,260
2023-Feb-03,USA,120,55289.58,1.27,1.51,1.05,189
2023-Feb-04,USA,120,56380.51,3.89,5.23,0.88,209
2023-Feb-05,USA,120,37385.45,1.65,2.13,0.94,161
2023-Feb-06,USA,120,39272.57,0.92,3.75,1.04,193
2023-Feb-07,USA,120,52918.62,2.34,5.33,0.94,216
2023-Feb-08,USA,120,45346.9,1.52,3.5,0.96,189
2023-Feb-09,USA,120,52658.86,1.28,3.24,0.95,239
2023-Feb-10,USA,120,52691.27,2.75,2.61,1.02,222
2023-Feb-11,USA,120,49865.28,2.4,1.83,0.91,209
2023-Feb-12,USA,120,40942.68,1.08,4.26,1.02,175
2023-Feb-13,USA,120,77159.47,2.69,0.58,1.0,270
2023-Feb-14,USA,120,55211.22,2.46,3.29,1.02,245
2023-Feb-15,USA,120,48647.46,3.43,2.8,0.96,233
2023-Feb-16,USA,120,49812.91,3.02,3.19,0.95,200
2023-Feb-17,USA,120,45900.39,3.26,4.1,0.99,190
2023-Feb-18,USA,120,59531.25,2.0,3.86,0.92,220
2023-Feb-19,USA,120,54213.8,2.91,3.72,0.91,192
2023-Feb-20,USA,120,53514.48,3.45,3.71,1.0,250
2023-Feb-21,USA,120,33597.33,1.84,2.98,0.87,127
2023-Feb-22,USA,120,31063.85,1.87,2.69,0.86,148
2023-Feb-23,USA,120,48207.9,3.66,3.0,0.87,193
2023-Feb-24,USA,120,42308.58,1.21,2.24,0.86,153
2023-Feb-25,USA,120,47216.09,2.38,3.7,1.01,223
